pair,ancestry,method,b,se,pval,nsnp,note
URATE_GOUT_EUR,EUR,MR-Egger intercept,-0.00981048509095194,0.00476223193093461,0.042451398767477,87,""
URATE_GOUT_EUR,EUR,Q (MR Egger),249.916513527587,85,3.84685496260164e-18,87,"b=Q, se=df"
URATE_GOUT_EUR,EUR,Q (Inverse variance weighted),262.394252804585,86,9.82456281696387e-20,87,"b=Q, se=df"
URATE_GOUT_EUR,EUR,MR-PRESSO (raw),1.2769755455231,0.058992391990346,1.4537038429627e-36,87,""
URATE_GOUT_EUR,EUR,MR-PRESSO (outlier-corrected),1.20497240739363,0.0614690562419863,4.35576573226287e-33,85,n_outliers=2
URATE_GOUT_EUR,EUR,MR-PRESSO Global,,,<0.001,87,Global pleiotropy test
URATE_GOUT_EUR,EUR,Radial-IVW,1.27122282851231,0.0587494489333523,7.87843571393347e-104,87,""
LDL_CAD_EUR,EUR,MR-APSS,0.387968381786924,0.0549631850029551,1.6807e-12,173,""
LDL_AIS_EUR,EUR,MR-APSS,0.0232917437640271,0.0553147321741824,0.6737,177,""
LDL_LAS_EUR,EUR,MR-APSS,0.130504649296668,0.124311396835311,0.2938,177,""
LDL_CES_EUR,EUR,MR-APSS,-0.155505669960804,0.0992751192711449,0.11725,177,""
LDL_SVS_EUR,EUR,MR-APSS,0.0664047615083073,0.116337490548546,0.56814,177,""
HDL_CAD_EUR,EUR,MR-APSS,-0.384924180915877,0.0904508950165908,2.0848e-05,109,""
TG_CAD_EUR,EUR,MR-APSS,0.496836692254982,0.0596226747512965,7.8809e-17,308,""
TC_CAD_EUR,EUR,MR-APSS,0.22799482817763,0.0522363063559348,1.2731e-05,264,""
BMI_T2D_EUR,EUR,MR-APSS,0.922956899951643,0.0564582065983261,4.5236e-60,423,""
URATE_GOUT_EUR,EUR,MR-APSS,1.21267213415297,0.123751287274693,1.134e-22,63,""
HBA1C_T2D_EUR,EUR,MR-APSS,1.32267630019272,0.673453813648467,0.049528,21,""
NC3_LDL_FRACT_EUR,EUR,MR-APSS,0.104986603142367,0.0485706971896411,0.030655,173,""
LPA_CAVS_EUR,EUR,MR-APSS,0.111958050026453,0.446170422640812,0.80187,5,""
HBA1C_T2D_EAS,EAS,MR-APSS,1.25028157469475,0.688337648046575,0.069312,6,""
SBP_AIS_EUR,EUR,MR-APSS,0.0355,0.0031,7.7473e-30,338,
DBP_AIS_EUR,EUR,MR-APSS,0.0449,0.0054,1.2653e-16,307,
